userID,userSet,responseTimeSeconds,questionOrder,userResponse,questionID,correctResponse,chartType,questionSet,error,absDiff,correct,logError,distToHalfQuarter,distToHorizontalVertical,alignmentType,alignment
31,study7Line,13.0,0,15,2480,15,stackbar,set4,0,0,True,-3.0,10,0,start0,aligned
31,study7Line,14.0,1,20,2481,20,stackbar,set1,0,0,True,-3.0,5,0,start75,aligned
31,study7Line,9.0,2,25,2482,31,stackbar,set1,-6,6,False,2.6147098441152083,6,4,non-aligned,non-aligned
31,study7Line,11.0,3,15,2483,20,stackbar,set4,-5,5,False,2.357552004618084,5,0,start0,aligned
31,study7Line,11.0,4,45,2484,44,stackbar,set4,1,1,False,0.16992500144231237,6,0,start0,aligned
31,study7Line,21.0,5,35,2485,45,stackbar,set3,-10,10,False,3.3398500028846247,5,7,non-aligned,non-aligned
31,study7Line,8.0,6,45,2486,46,stackbar,set3,-1,1,False,0.16992500144231237,4,0,start0,aligned
31,study7Line,12.0,7,10,2487,13,stackbar,set4,-3,3,False,1.6438561897747246,12,0,start0,aligned
31,study7Line,17.0,8,35,2488,37,stackbar,set3,-2,2,False,1.0874628412503393,12,0,start0,aligned
31,study7Line,11.0,9,30,2489,34,stackbar,set1,-4,4,False,2.0443941193584534,9,6,non-aligned,non-aligned
31,study7Line,17.0,10,50,2490,50,stackbar,set3,0,0,True,-3.0,0,5,non-aligned,non-aligned
31,study7Line,13.0,11,15,2491,17,stackbar,set4,-2,2,False,1.0874628412503393,8,1,non-aligned,non-aligned
31,study7Line,7.0,12,10,2492,14,stackbar,set2,-4,4,False,2.0443941193584534,11,4,non-aligned,non-aligned
31,study7Line,6.0,13,10,2493,17,stackbar,set2,-7,7,False,2.8328900141647417,8,0,start0,aligned
31,study7Line,8.0,14,10,2494,12,stackbar,set1,-2,2,False,1.0874628412503393,12,1,non-aligned,non-aligned
31,study7Line,8.0,15,25,2495,44,stackbar,set4,-19,19,False,4.257387842692652,6,2,non-aligned,non-aligned
31,study7Line,11.0,16,20,2496,19,stackbar,set2,1,1,False,0.16992500144231237,6,0,start0,aligned
31,study7Line,12.0,17,20,2497,21,stackbar,set1,-1,1,False,0.16992500144231237,4,0,start0,aligned
31,study7Line,8.0,18,10,2498,11,stackbar,set1,-1,1,False,0.16992500144231237,11,0,start0,aligned
31,study7Line,9.0,19,27,2499,27,stackbar,set2,0,0,True,-3.0,2,0,start0,aligned
31,study7Line,7.0,20,10,2500,11,stackbar,set1,-1,1,False,0.16992500144231237,11,4,non-aligned,non-aligned
31,study7Line,13.0,21,40,2501,36,stackbar,set4,4,4,False,2.0443941193584534,11,0,start0,aligned
31,study7Line,17.0,22,13,2502,14,stackbar,set3,-1,1,False,0.16992500144231237,11,0,start0,aligned
31,study7Line,13.0,23,23,2503,23,stackbar,set3,0,0,True,-3.0,2,0,start0,aligned
31,study7Line,12.0,24,33,2504,36,stackbar,set3,-3,3,False,1.6438561897747246,11,3,non-aligned,non-aligned
31,study7Line,11.0,25,35,2505,33,stackbar,set3,2,2,False,1.0874628412503393,8,0,start0,aligned
31,study7Line,19.0,26,20,2506,15,stackbar,set2,5,5,False,2.357552004618084,10,4,non-aligned,non-aligned
31,study7Line,18.0,27,35,2507,38,stackbar,set1,-3,3,False,1.6438561897747246,12,1,non-aligned,non-aligned
31,study7Line,9.0,28,25,2508,27,stackbar,set4,-2,2,False,1.0874628412503393,2,3,non-aligned,non-aligned
31,study7Line,9.0,29,50,2509,49,stackbar,set3,1,1,False,0.16992500144231237,1,1,non-aligned,non-aligned
31,study7Line,12.0,30,30,2510,33,stackbar,set4,-3,3,False,1.6438561897747246,8,4,non-aligned,non-aligned
31,study7Line,7.0,31,26,2511,26,stackbar,set1,0,0,True,-3.0,1,0,start0,aligned
31,study7Line,11.0,32,50,2512,46,stackbar,set3,4,4,False,2.0443941193584534,4,10,non-aligned,non-aligned
31,study7Line,12.0,33,30,2513,31,stackbar,set4,-1,1,False,0.16992500144231237,6,0,start0,aligned
31,study7Line,9.0,34,45,2514,42,stackbar,set2,3,3,False,1.6438561897747246,8,0,start0,aligned
31,study7Line,6.0,35,49,2515,49,stackbar,set4,0,0,True,-3.0,1,0,start0,aligned
31,study7Line,15.0,36,25,2516,26,stackbar,set2,-1,1,False,0.16992500144231237,1,10,non-aligned,non-aligned
31,study7Line,17.0,37,40,2517,40,stackbar,set4,0,0,True,-3.0,10,2,non-aligned,non-aligned
31,study7Line,34.0,38,50,2518,43,stackbar,set2,7,7,False,2.8328900141647417,7,2,non-aligned,non-aligned
31,study7Line,9.0,39,60,2519,48,stackbar,set1,12,12,False,3.599912842187128,2,9,non-aligned,non-aligned
31,study7Line,10.0,40,30,2520,28,stackbar,set4,2,2,False,1.0874628412503393,3,0,start0,aligned
31,study7Line,16.0,41,45,2521,47,stackbar,set1,-2,2,False,1.0874628412503393,3,2,non-aligned,non-aligned
31,study7Line,21.0,42,20,2522,16,stackbar,set2,4,4,False,2.0443941193584534,9,2,non-aligned,non-aligned
31,study7Line,10.0,43,40,2523,39,stackbar,set3,1,1,False,0.16992500144231237,11,0,start0,aligned
31,study7Line,10.0,44,22,2524,22,stackbar,set1,0,0,True,-3.0,3,0,start0,aligned
31,study7Line,10.0,45,35,2525,35,stackbar,set4,0,0,True,-3.0,10,0,start0,aligned
31,study7Line,12.0,46,20,2526,21,stackbar,set1,-1,1,False,0.16992500144231237,4,1,non-aligned,non-aligned
31,study7Line,8.0,47,48,2527,47,stackbar,set2,1,1,False,0.16992500144231237,3,0,start0,aligned
31,study7Line,8.0,48,25,2528,24,stackbar,set3,1,1,False,0.16992500144231237,1,8,non-aligned,non-aligned
31,study7Line,9.0,49,22,2529,22,stackbar,set4,0,0,True,-3.0,3,0,start75,aligned
31,study7Line,10.0,50,35,2530,30,stackbar,set1,5,5,False,2.357552004618084,5,8,non-aligned,non-aligned
31,study7Line,12.0,51,15,2531,13,stackbar,set1,2,2,False,1.0874628412503393,12,6,non-aligned,non-aligned
31,study7Line,12.0,52,15,2532,18,stackbar,set3,-3,3,False,1.6438561897747246,7,2,non-aligned,non-aligned
31,study7Line,7.0,53,15,2533,19,stackbar,set2,-4,4,False,2.0443941193584534,6,2,non-aligned,non-aligned
31,study7Line,9.0,54,45,2534,41,stackbar,set1,4,4,False,2.0443941193584534,9,0,start0,aligned
31,study7Line,8.0,55,50,2535,41,stackbar,set1,9,9,False,3.189824558880017,9,6,non-aligned,non-aligned
31,study7Line,8.0,56,30,2536,29,stackbar,set4,1,1,False,0.16992500144231237,4,0,start0,aligned
