userID,userSet,responseTimeSeconds,questionOrder,userResponse,questionID,correctResponse,chartType,questionSet,error,absDiff,correct,logError,distToHalfQuarter,distToHorizontalVertical,alignmentType,alignment
8,study7Pie,33.0,0,25,640,24,pie,set4,1,1,False,0.16992500144231237,1,9,non-aligned,non-aligned
8,study7Pie,46.0,1,20,641,17,pie,set3,3,3,False,1.6438561897747246,8,0,start0,aligned
8,study7Pie,34.0,2,40,642,28,pie,set1,12,12,False,3.599912842187128,3,0,start0,aligned
8,study7Pie,35.0,3,40,643,42,pie,set1,-2,2,False,1.0874628412503393,8,3,non-aligned,non-aligned
8,study7Pie,54.0,4,33,644,41,pie,set4,-8,8,False,3.0223678130284544,9,4,non-aligned,non-aligned
8,study7Pie,14.0,5,27,645,27,pie,set2,0,0,True,-3.0,2,0,start0,aligned
8,study7Pie,20.0,6,18,646,19,pie,set2,-1,1,False,0.16992500144231237,6,2,non-aligned,non-aligned
8,study7Pie,13.0,7,20,647,19,pie,set1,1,1,False,0.16992500144231237,6,0,start0,aligned
8,study7Pie,13.0,8,40,648,40,pie,set1,0,0,True,-3.0,10,6,non-aligned,non-aligned
8,study7Pie,16.0,9,48,649,49,pie,set2,-1,1,False,0.16992500144231237,1,0,start0,aligned
8,study7Pie,20.0,10,12,650,14,pie,set4,-2,2,False,1.0874628412503393,11,6,non-aligned,non-aligned
8,study7Pie,10.0,11,45,651,41,pie,set1,4,4,False,2.0443941193584534,9,0,start0,aligned
8,study7Pie,12.0,12,42,652,36,pie,set3,6,6,False,2.6147098441152083,11,3,non-aligned,non-aligned
8,study7Pie,9.0,13,10,653,11,pie,set2,-1,1,False,0.16992500144231237,11,0,start0,aligned
8,study7Pie,12.0,14,30,654,29,pie,set3,1,1,False,0.16992500144231237,4,9,non-aligned,non-aligned
8,study7Pie,11.0,15,25,655,26,pie,set2,-1,1,False,0.16992500144231237,1,10,non-aligned,non-aligned
8,study7Pie,14.0,16,22,656,25,pie,set3,-3,3,False,1.6438561897747246,0,5,non-aligned,non-aligned
8,study7Pie,11.0,17,42,657,43,pie,set2,-1,1,False,0.16992500144231237,7,0,start0,aligned
8,study7Pie,12.0,18,15,658,14,pie,set4,1,1,False,0.16992500144231237,11,0,start0,aligned
8,study7Pie,10.0,19,40,659,39,pie,set1,1,1,False,0.16992500144231237,11,4,non-aligned,non-aligned
